id,cgpa,tenth_percentage,twelfth_percentage,backlog_history_count,programming_score,sql_score,dsa_score,web_dev_score,git_score,cloud_score,aptitude_score,logical_score,coding_score,communication_score,interview_score,presentation_score,verified_project_count,project_complexity_score,verified_internship_count,verified_certification_count,open_source_score,hackathon_score,leadership_score,placed
980,7.42,72.6,78.2,1,63,62,59,56,63,39,53,65,63,69,71,53,0,0,0,1,0,0,0,0
981,7.1,81.3,81.1,0,75,62,67,62,70,66,67,69,77,52,61,58,1,62,1,3,0,55,0,1
982,6.66,77.1,73.6,1,71,60,67,61,66,54,78,61,67,64,58,51,0,0,0,2,32,0,0,1
983,6.7,73.8,73.0,0,73,63,54,74,59,60,60,60,62,62,65,57,0,0,2,2,0,0,0,1
984,8.12,91.4,87.5,0,49,37,50,45,49,38,50,48,49,68,67,63,0,0,0,1,0,0,49,0
985,7.72,82.3,87.7,1,57,57,55,55,70,48,55,52,47,62,54,49,0,0,0,1,0,0,0,0
986,8.46,90.1,82.9,2,73,60,56,60,71,66,55,58,68,60,62,65,1,72,0,0,0,53,0,1
987,7.56,81.4,79.3,0,61,59,62,73,59,58,59,69,72,65,61,58,0,0,0,1,0,0,0,0
988,7.4,83.3,83.6,1,74,63,75,69,72,53,67,66,70,68,54,58,0,0,1,3,73,58,0,1
989,9.4,92.3,82.1,0,72,72,74,75,85,59,68,62,68,68,59,57,0,0,1,0,0,40,0,1
990,7.92,82.8,81.2,1,82,61,76,69,59,63,76,72,78,56,61,67,1,52,0,1,33,0,0,1
991,7.41,74.2,76.5,0,85,55,69,74,67,51,70,72,70,42,63,50,0,0,0,2,0,0,0,0
992,7.72,76.8,80.4,1,61,45,59,59,62,30,81,71,65,52,57,55,0,0,0,2,35,0,0,1
993,7.37,81.1,80.7,1,66,47,63,61,69,52,60,64,61,62,55,62,0,0,1,1,69,70,0,1
994,8.34,90.5,88.4,0,80,67,73,72,83,66,57,63,83,42,61,49,0,0,0,1,56,30,0,1
995,7.34,78.4,70.9,1,74,72,67,72,68,59,58,67,62,61,63,52,1,77,0,2,60,55,0,1
996,8.67,87.9,96.6,3,62,44,47,58,56,41,54,62,53,57,57,51,3,58,1,2,0,0,0,1
997,6.25,66.2,68.1,0,55,53,57,41,54,34,71,64,64,61,60,53,3,48,0,2,0,10,0,1
998,8.41,83.6,82.0,0,55,33,60,39,39,39,72,78,62,50,52,43,0,0,1,1,0,0,0,0
999,8.94,95.9,98.0,0,69,56,56,61,56,55,54,55,56,50,52,55,0,0,0,1,10,0,0,0
1000,7.52,84.1,80.7,0,72,82,68,61,69,59,68,68,69,66,70,57,0,0,0,2,51,31,58,1
1001,7.71,76.1,78.4,1,56,49,63,51,57,32,55,59,54,56,49,63,0,0,0,0,0,0,0,0
1002,6.94,88.8,84.1,1,59,46,62,43,55,51,65,62,68,98,76,88,2,39,0,2,0,0,68,1
1003,7.76,87.5,84.4,0,62,50,63,47,54,43,69,68,68,46,48,48,0,0,2,1,0,41,0,1
1004,7.47,81.9,81.3,0,76,68,70,67,64,61,71,71,68,57,63,57,0,0,1,2,46,0,0,1
1005,6.71,80.8,72.3,0,56,50,62,54,60,44,67,70,59,65,69,66,1,80,1,0,0,0,0,1
1006,9.63,97.6,98.0,1,64,41,60,62,68,38,56,55,62,57,62,60,0,0,0,2,21,0,0,1
1007,8.3,82.5,73.7,2,55,39,49,36,50,43,69,57,59,56,49,57,0,0,2,2,0,11,0,0
1008,7.29,77.0,78.7,0,63,56,71,51,62,41,73,66,66,49,55,53,0,0,2,0,0,58,0,0
1009,8.67,88.7,90.3,3,68,66,60,68,58,47,49,51,57,65,63,55,3,73,0,1,47,32,0,1
1010,8.28,79.5,76.7,0,59,50,61,61,60,40,68,64,67,78,66,61,0,0,2,0,0,76,0,0
1011,6.62,77.7,78.1,0,69,68,70,66,77,51,71,68,67,75,66,68,0,0,0,1,0,0,56,1
1012,7.79,81.6,79.8,0,67,51,63,73,53,51,66,61,56,54,56,47,0,0,0,1,0,0,0,0
1013,7.29,75.8,83.2,0,80,78,74,74,82,73,57,67,80,44,53,32,0,0,2,0,44,34,0,1
1014,8.11,87.5,80.6,0,69,49,72,58,74,52,80,71,79,57,52,56,0,0,1,2,0,0,18,1
1015,5.37,70.1,62.2,0,71,65,66,60,68,49,63,62,62,56,62,55,3,58,0,0,0,47,61,1
1016,6.5,69.5,76.6,0,63,64,59,61,65,52,73,65,61,53,62,48,0,0,0,3,0,0,17,0
1017,7.62,85.7,82.5,0,63,57,64,60,67,50,83,67,78,59,57,47,0,0,1,0,0,0,0,1
1018,8.67,92.9,83.3,0,68,68,71,57,79,57,53,64,72,67,64,58,3,46,1,0,0,25,0,1
1019,8.86,99.0,94.0,3,69,67,70,62,63,55,70,65,63,65,58,45,2,58,0,0,0,18,0,1
1020,7.88,84.1,84.3,1,71,58,63,61,66,52,63,54,75,68,62,64,1,73,0,2,19,25,0,1
1021,6.26,68.5,62.0,0,59,41,51,49,67,71,48,58,58,58,54,47,0,0,1,1,0,0,0,0
1022,7.38,79.7,77.0,3,61,35,50,43,50,36,69,57,54,77,74,73,0,0,0,3,32,26,81,1
1023,7.06,77.3,73.2,1,65,49,61,52,51,56,54,55,53,54,58,52,0,0,0,2,0,10,0,0
1024,7.04,77.6,70.7,2,70,50,55,58,54,55,62,60,61,63,62,65,1,65,0,0,0,0,44,0
1025,5.98,73.1,71.2,0,65,52,75,58,57,47,72,60,66,58,61,71,0,0,0,2,0,0,0,1
1026,7.39,71.2,68.1,0,61,64,58,52,65,46,64,65,64,57,56,60,0,0,0,0,42,0,0,1
1027,7.02,79.8,68.8,3,79,57,60,73,61,61,58,52,71,65,64,55,1,82,0,0,0,0,0,1
1028,7.87,79.1,82.9,0,91,77,65,71,77,64,57,57,77,58,58,53,0,0,1,1,63,0,0,1
1029,6.83,72.1,69.8,0,73,72,68,75,72,82,61,57,58,60,59,55,0,0,2,0,34,0,0,1
1030,8.56,85.0,85.4,2,59,53,64,61,61,52,74,58,61,65,64,59,0,0,0,0,0,0,0,1
1031,7.57,81.7,73.7,1,68,68,71,56,67,66,62,53,53,54,52,58,3,66,1,1,0,75,0,1
1032,4.99,74.9,72.6,1,80,67,76,75,68,55,69,69,73,59,60,54,0,0,0,1,0,44,40,1
1033,7.83,83.5,78.9,0,54,35,40,47,56,44,53,53,53,60,43,55,1,62,0,0,37,26,0,1
1034,7.82,82.8,85.0,1,58,38,64,59,54,56,67,69,58,57,56,59,0,0,0,0,0,14,0,0
1035,7.41,82.5,78.9,0,65,80,67,64,65,66,53,55,55,56,59,57,1,52,0,2,0,0,0,1
1036,6.58,72.8,71.6,0,66,42,70,35,44,43,73,75,56,58,50,56,3,53,0,1,27,0,0,1
1037,7.95,82.3,85.0,1,63,49,52,57,50,48,58,62,61,60,54,63,0,0,1,1,68,56,19,1
1038,8.77,91.8,85.7,0,61,49,66,54,56,37,70,74,59,65,63,60,1,59,0,3,54,0,0,1
1039,8.07,79.4,82.2,0,81,79,77,71,71,69,74,81,77,52,62,47,0,0,0,2,0,0,0,1
1040,6.65,72.7,72.4,0,55,41,42,45,44,38,43,45,46,55,56,51,0,0,0,3,0,0,0,0
1041,7.15,86.8,73.8,2,72,50,58,63,69,61,54,53,65,49,61,55,2,71,0,2,33,0,0,1
1042,5.77,79.9,64.9,0,63,51,64,54,53,51,65,72,67,69,57,56,0,0,2,1,47,0,48,1
1043,9.32,99.0,98.0,0,39,32,51,41,43,27,65,61,55,66,57,60,0,0,0,0,37,0,0,0
1044,6.79,79.7,68.3,0,86,65,67,73,73,58,52,63,66,61,57,49,1,72,0,2,61,0,0,1
1045,6.27,75.0,72.9,2,50,35,51,35,37,35,60,56,45,69,57,77,0,0,0,2,0,19,0,0
1046,5.32,62.9,72.9,0,68,65,74,58,63,55,79,64,72,59,53,55,0,0,1,0,0,0,0,1
1047,8.2,88.3,85.9,0,60,57,68,64,60,45,65,67,68,46,62,60,0,0,0,2,0,0,0,1
1048,8.53,84.6,84.8,0,47,36,47,39,47,37,67,63,52,72,44,62,0,0,1,0,0,10,0,0
1049,7.72,81.3,84.5,0,75,68,63,70,66,49,57,55,61,46,57,50,0,0,0,0,0,10,0,0
1050,7.1,74.8,72.2,0,77,75,72,62,73,69,71,66,65,54,66,54,0,0,0,1,12,0,0,1
1051,7.41,78.9,78.3,0,77,64,71,74,75,54,70,65,71,63,55,54,2,77,1,0,41,0,28,1
1052,8.02,84.6,84.3,0,61,47,67,58,51,46,65,57,60,53,62,51,0,0,2,1,58,0,0,1
1053,7.39,82.8,73.8,0,69,56,61,53,61,52,66,59,70,54,49,48,0,0,1,0,0,0,0,1
1054,6.87,83.4,76.3,1,69,51,73,45,68,61,65,65,65,63,73,55,0,0,2,0,0,60,0,1
1055,8.2,86.0,91.8,2,71,52,59,56,60,52,79,74,75,53,52,50,0,0,1,0,39,46,0,1
1056,7.37,79.4,77.2,0,58,55,61,49,54,48,65,57,60,60,55,51,0,0,1,2,0,0,39,1
1057,8.11,77.6,78.8,0,73,53,60,56,58,50,58,52,55,81,58,55,0,0,0,0,0,36,0,1
1058,8.86,86.5,87.1,1,61,55,72,67,53,50,71,53,65,48,54,43,0,0,0,1,0,0,21,0
1059,9.1,94.1,84.8,0,69,57,73,73,68,58,66,61,59,51,66,66,0,0,0,0,0,10,0,0
1060,6.52,74.3,71.1,0,77,83,73,65,69,60,70,69,65,66,69,63,0,0,1,1,0,0,0,1
1061,7.19,84.4,81.4,1,60,56,67,61,58,46,68,63,55,52,60,54,1,46,0,0,0,0,0,0
1062,6.66,72.5,77.7,1,84,73,72,60,79,63,74,66,75,48,52,37,0,0,0,2,0,0,0,0
1063,8.18,89.2,87.1,1,77,62,67,69,70,56,54,63,68,49,61,39,2,69,0,2,25,10,0,1
1064,6.42,70.9,71.4,0,61,56,61,45,55,54,78,71,68,50,49,45,3,43,0,1,0,10,0,1
1065,8.16,85.6,97.7,2,59,57,47,53,56,45,57,46,53,41,49,33,0,0,0,2,0,10,0,0
1066,7.64,74.0,70.1,0,53,56,55,43,54,46,55,50,51,57,63,50,3,48,2,0,0,0,0,0
1067,8.36,84.8,90.8,0,64,56,59,45,62,45,56,49,66,70,56,58,0,0,1,1,0,0,0,0
1068,8.38,96.6,91.5,1,61,34,62,50,59,43,73,64,58,80,64,60,2,47,0,2,50,0,59,1
1069,6.43,83.8,75.8,0,51,58,62,56,58,37,61,63,68,73,63,68,0,0,0,1,27,0,0,1
1070,8.16,86.9,85.0,1,55,48,56,58,59,43,61,61,57,50,65,63,0,0,2,0,0,28,0,0
1071,7.91,87.0,85.4,0,75,55,68,62,65,58,69,68,64,69,62,72,0,0,1,1,0,0,0,1
1072,7.1,81.9,76.8,0,78,67,82,75,70,66,72,77,79,58,68,64,0,0,1,2,0,0,0,1
1073,7.21,72.5,75.9,0,60,55,60,47,52,46,64,75,61,57,49,56,0,0,1,0,0,53,0,0
1074,7.25,80.1,80.6,1,61,51,60,52,64,42,57,47,56,43,46,47,0,0,2,0,44,0,0,0
1075,6.73,68.8,74.1,0,68,60,65,59,63,44,51,58,63,68,52,59,1,69,0,1,43,52,57,1
1076,7.66,81.7,78.9,0,67,48,59,45,51,56,62,63,59,81,60,60,2,53,0,0,0,26,75,1
1077,8.43,81.8,84.1,0,76,61,69,70,72,61,66,57,66,65,66,53,0,0,0,0,0,0,64,1
1078,6.86,88.5,78.5,1,75,56,53,62,61,62,52,59,64,79,67,67,0,0,0,0,36,31,0,0
1079,7.82,84.4,82.8,1,70,53,61,64,65,53,63,64,73,67,56,56,0,0,0,2,0,0,0,1
1080,7.6,82.0,81.4,0,63,51,66,61,52,51,78,70,73,57,56,60,2,51,0,1,0,0,0,1
1081,7.83,79.0,80.4,0,74,54,70,62,59,52,74,76,74,47,52,47,0,0,1,1,0,0,0,1
1082,8.05,86.5,77.5,0,56,54,60,43,53,48,66,52,62,70,53,59,4,39,0,2,0,0,43,0
1083,7.77,73.3,80.0,1,64,54,56,60,53,57,57,62,59,59,59,51,0,0,0,0,0,0,0,0
1084,7.34,78.3,75.4,0,72,75,72,63,67,63,73,67,61,67,58,61,1,62,0,0,0,0,0,1
1085,7.72,86.7,76.2,2,62,55,67,59,68,63,72,69,75,62,52,56,2,65,0,0,59,0,0,1
1086,6.39,73.4,74.8,1,62,52,50,44,57,37,60,52,52,71,67,67,0,0,0,0,0,0,44,1
1087,8.36,91.2,95.8,0,61,44,56,59,62,55,58,62,72,62,64,60,2,61,1,0,0,0,0,1
1088,7.1,78.9,66.7,1,67,42,57,50,59,43,56,51,54,47,49,48,4,51,1,2,0,0,0,0
1089,7.04,67.9,73.1,1,76,59,59,57,70,56,72,66,70,56,62,49,1,53,0,3,0,0,21,1
1090,8.06,76.9,87.2,0,64,67,55,63,64,62,68,67,66,74,67,55,1,70,1,0,32,37,0,1
1091,5.03,58.3,57.6,1,71,57,79,54,74,54,78,71,71,60,62,62,1,75,2,2,57,45,0,1
1092,7.51,87.8,86.2,0,53,49,52,47,57,55,72,55,54,56,59,49,3,69,1,1,64,0,0,1
1093,5.97,72.2,62.6,1,76,66,65,70,65,64,68,72,65,62,54,51,0,0,0,0,0,0,0,0
1094,5.82,65.5,67.1,0,64,59,63,66,57,59,67,57,54,61,58,58,1,74,1,2,0,83,0,1
1095,8.35,88.6,90.2,0,55,48,60,54,56,62,60,68,60,51,49,61,0,0,0,2,0,0,0,0
1096,7.99,81.6,77.3,1,62,51,60,63,50,50,60,60,62,60,64,63,0,0,1,0,0,0,0,0
1097,6.59,81.1,81.5,1,49,48,30,41,58,47,52,41,52,46,44,49,0,0,0,3,0,0,0,0
1098,7.0,81.0,68.4,0,63,72,60,60,65,55,64,67,63,64,61,57,0,0,2,0,0,0,46,1
1099,6.38,73.9,80.2,0,55,50,60,50,56,42,74,66,65,63,64,53,0,0,2,3,0,31,0,0
1100,8.3,99.0,83.4,0,44,36,61,46,46,48,71,66,58,66,55,53,0,0,1,0,51,0,50,1
1101,7.06,73.7,78.2,1,51,28,51,29,50,45,63,60,50,65,62,55,0,0,0,0,36,32,24,0
1102,7.22,73.3,70.6,1,77,77,58,69,69,58,54,64,65,48,55,51,0,0,0,2,0,10,0,1
1103,7.48,83.1,74.5,2,68,52,65,69,59,53,60,69,65,62,60,65,1,57,1,3,0,0,0,1
1104,7.77,85.2,80.9,1,66,66,69,56,74,44,76,72,69,54,52,57,0,0,0,3,0,0,0,1
1105,6.85,75.8,76.3,2,64,57,74,52,57,53,77,72,69,67,57,59,0,0,0,0,0,0,0,0
1106,7.13,77.4,76.7,2,61,55,58,47,60,51,64,64,54,62,61,60,1,63,1,1,74,79,19,0
1107,7.32,81.7,84.8,1,71,67,66,68,70,61,64,63,67,60,55,60,0,0,0,1,0,0,0,0
1108,7.6,86.7,88.9,2,64,58,60,56,63,48,65,63,62,59,60,66,0,0,0,1,0,23,28,1
1109,7.9,82.2,77.4,2,80,66,76,78,72,67,78,65,78,66,57,61,0,0,0,3,28,0,0,1
1110,7.78,80.4,79.1,3,70,63,65,61,53,48,63,61,65,68,60,60,0,0,0,1,0,0,0,0
1111,7.83,83.6,88.8,0,58,51,57,45,61,39,68,56,54,69,61,66,0,0,0,2,0,11,0,0
1112,7.63,77.0,74.9,0,65,50,66,60,62,46,62,59,55,79,73,73,2,79,0,1,39,0,85,1
1113,8.31,80.7,86.4,2,57,49,50,57,57,47,61,58,65,72,61,54,2,59,1,1,0,0,49,1
1114,6.85,68.7,71.9,1,77,75,67,79,81,72,56,66,81,46,59,48,0,0,0,0,0,0,0,0
1115,7.01,85.4,77.3,0,51,47,44,46,48,41,51,47,45,53,43,44,0,0,0,2,0,0,0,0
1116,7.79,74.2,87.8,0,62,59,69,64,54,49,69,69,66,63,53,50,4,70,1,0,0,50,33,1
1117,6.88,86.8,73.5,0,77,73,72,72,67,60,61,71,78,55,56,51,0,0,0,1,51,0,0,1
1118,7.57,83.5,83.3,3,52,43,61,55,61,43,70,73,57,66,62,57,4,79,1,0,0,43,35,0
1119,8.67,88.6,85.6,0,70,62,65,58,61,48,71,61,71,57,49,54,1,65,1,0,0,0,21,1
1120,5.86,76.7,73.2,0,64,59,53,66,55,55,63,61,59,58,58,45,0,0,0,0,0,0,0,0
1121,6.66,72.1,69.4,0,62,54,62,59,63,53,70,60,70,65,58,43,2,69,1,1,10,0,14,0
1122,7.96,84.5,78.1,0,69,62,55,72,68,55,58,69,58,52,59,40,0,0,0,0,0,27,0,1
1123,7.52,78.5,69.9,0,59,47,64,51,53,53,67,63,62,50,54,55,1,61,0,1,53,43,36,1
1124,7.59,88.5,81.5,0,79,66,73,69,60,58,76,68,78,64,55,59,0,0,0,3,0,0,0,1
1125,7.45,79.8,71.7,0,56,50,57,55,61,40,78,66,71,48,49,54,0,0,1,1,0,25,0,1
1126,6.07,71.9,68.6,0,63,59,57,58,59,52,56,59,68,65,64,58,0,0,2,1,0,0,51,0
1127,7.31,81.0,76.0,0,53,53,50,55,55,50,66,63,48,58,53,60,0,0,1,1,0,0,0,1
1128,7.7,74.9,77.2,0,71,51,70,63,66,62,89,81,58,77,68,61,0,0,1,1,0,0,51,1
1129,7.07,83.1,74.1,0,75,56,66,61,54,49,55,65,63,51,66,62,0,0,0,1,0,0,0,1
1130,7.52,80.6,78.5,1,84,67,67,71,83,66,63,66,75,59,67,59,0,0,0,0,0,0,50,1
1131,7.63,85.4,81.4,0,60,64,68,59,75,43,63,54,69,68,65,61,0,0,0,0,38,0,17,1
1132,7.29,77.1,76.3,1,59,50,54,47,61,65,60,57,65,75,66,65,2,54,0,0,0,48,34,1
1133,8.74,86.6,81.4,2,63,57,63,54,65,64,71,75,74,70,56,61,1,85,0,0,0,0,44,1
1134,7.1,84.1,71.4,1,59,44,51,54,65,41,44,44,48,55,46,51,0,0,0,1,0,0,0,0
1135,9.14,99.0,86.6,0,70,55,58,59,66,56,68,65,63,54,54,51,0,0,0,0,0,0,0,1
1136,5.69,72.0,66.5,3,71,64,64,61,62,51,72,62,64,65,68,58,0,0,1,0,32,0,0,0
1137,7.56,88.7,85.3,1,64,56,76,59,67,50,74,69,67,49,53,58,0,0,2,1,0,0,0,1
1138,8.39,86.5,85.8,0,60,48,46,50,47,45,67,61,53,75,68,56,0,0,0,0,0,0,0,1
1139,7.21,76.3,71.8,1,65,61,59,62,63,40,62,57,68,75,63,71,0,0,2,2,61,37,63,1
1140,6.77,75.4,76.0,0,57,32,50,44,43,44,66,66,65,57,53,65,0,0,0,0,23,0,0,0
1141,6.91,88.4,86.3,2,66,50,67,54,65,51,64,66,69,58,63,41,0,0,0,3,0,0,0,0
1142,7.51,80.4,84.0,0,68,60,61,69,64,55,60,64,64,55,69,49,0,0,2,0,58,59,0,1
1143,8.22,84.4,86.8,0,58,50,47,47,51,43,50,48,50,68,52,63,0,0,0,2,0,0,17,1
1144,7.32,85.8,81.6,3,71,61,62,62,67,43,57,59,59,56,63,46,0,0,0,0,0,41,18,0
1145,5.81,69.0,63.6,1,65,60,61,52,59,41,60,70,61,64,62,62,1,50,1,0,0,55,59,1
1146,7.23,69.2,71.5,0,71,65,65,70,68,64,78,72,71,54,53,50,0,0,1,0,0,0,0,1
1147,7.95,84.1,74.9,0,69,51,62,63,71,61,67,56,62,50,59,46,1,56,0,1,0,52,0,1
1148,6.87,85.0,84.8,0,67,61,64,69,67,68,54,57,55,55,60,62,0,0,0,0,0,0,0,1
1149,5.5,63.5,66.8,2,52,50,43,54,64,48,48,47,51,62,50,58,2,42,0,1,0,0,0,0
1150,8.64,89.3,84.5,2,67,55,64,68,53,58,64,65,64,67,62,60,2,70,2,2,36,0,33,1
1151,7.19,76.6,85.8,0,63,45,62,46,49,34,70,68,63,57,53,54,4,39,1,0,0,10,0,1
1152,6.71,75.6,64.0,0,65,70,50,51,56,45,63,50,60,62,48,47,1,50,1,1,0,36,0,0
1153,6.26,75.6,77.8,1,66,58,59,65,49,66,53,48,57,70,60,66,3,85,0,0,55,90,0,1
1154,8.51,83.1,86.3,1,69,56,66,63,63,58,64,70,65,49,54,44,0,0,1,1,13,40,0,0
1155,7.24,89.7,74.7,3,59,51,74,50,56,49,67,63,61,63,62,71,3,71,1,1,0,0,0,1
1156,6.72,77.3,87.7,0,69,58,58,57,61,39,66,61,67,69,60,57,0,0,0,1,0,0,0,1
1157,8.58,86.1,89.7,0,61,53,60,40,50,53,54,60,62,58,59,54,0,0,0,0,32,10,0,1
1158,7.89,73.9,82.7,2,62,52,60,66,61,47,62,55,71,59,67,57,0,0,1,2,29,10,0,0
1159,7.54,85.5,80.5,1,67,43,56,52,64,50,62,55,65,55,53,54,0,0,2,0,0,48,0,1
1160,7.97,76.8,89.5,0,66,63,67,70,62,58,71,66,64,53,65,61,3,64,0,1,0,40,0,1
1161,7.86,85.0,86.2,1,62,47,55,51,60,47,61,70,67,47,55,51,0,0,1,0,0,27,0,0
1162,6.05,69.4,68.7,0,62,64,66,54,74,55,60,60,65,60,54,56,2,68,0,2,80,53,23,0
1163,7.2,83.3,88.0,1,54,48,57,41,47,46,71,63,62,60,51,55,2,47,0,0,38,0,48,0
1164,7.28,84.8,79.0,0,61,52,56,53,63,43,62,58,62,50,54,54,1,64,0,0,62,0,23,1
1165,7.43,84.7,82.0,2,64,67,68,62,75,59,74,63,68,59,63,57,0,0,0,3,0,56,0,1
1166,6.94,85.0,74.4,0,63,52,57,50,57,49,78,68,72,79,67,69,2,41,0,2,25,26,65,1
1167,7.53,83.6,76.2,1,57,49,56,46,62,39,65,56,61,55,56,60,0,0,0,0,0,0,23,0
1168,8.18,88.9,82.8,1,55,50,55,60,63,53,63,61,72,69,65,59,3,63,1,0,50,39,47,1
1169,7.26,81.2,82.9,0,74,62,65,66,61,53,56,58,68,55,61,61,0,0,1,1,0,54,0,1
1170,7.9,82.7,86.2,0,67,59,60,54,65,54,62,65,61,47,53,53,3,63,2,0,0,0,0,0
1171,6.92,79.3,83.2,0,78,74,65,58,63,53,53,56,69,61,60,52,0,0,0,2,0,0,42,0
1172,8.57,98.1,92.9,0,84,59,66,78,66,70,64,70,77,67,72,53,0,0,1,1,64,77,0,1
1173,6.08,75.9,66.3,0,61,57,52,50,61,41,74,65,63,68,61,56,0,0,1,1,52,73,48,1
1174,8.12,81.4,85.3,0,74,71,69,66,87,62,58,71,75,75,78,60,0,0,1,0,0,19,0,1
1175,6.19,78.0,71.9,1,46,36,45,47,55,46,60,49,48,62,59,64,0,0,0,0,0,0,47,0
1176,8.2,88.0,81.3,2,66,67,64,67,63,61,66,68,66,73,57,55,4,59,1,1,27,49,0,1
1177,7.11,79.7,73.6,1,70,62,73,70,75,56,68,69,68,63,60,52,2,59,1,0,0,0,0,0
1178,5.86,74.8,66.2,0,84,67,82,67,66,63,74,82,69,79,61,58,0,0,1,0,0,25,0,0
1179,7.63,87.7,81.8,1,69,59,68,61,64,69,73,72,67,48,54,53,0,0,0,0,0,0,0,1
1180,7.86,84.9,79.6,1,61,48,62,56,64,52,65,61,58,67,61,60,0,0,0,2,55,65,0,1
1181,7.63,80.1,76.0,1,66,47,61,52,49,48,72,61,62,53,58,48,0,0,0,2,44,47,0,0
1182,6.93,80.0,77.8,1,68,56,51,55,67,58,64,62,49,59,55,53,1,54,0,0,42,0,0,1
1183,7.03,76.6,77.6,1,73,66,57,60,73,48,60,67,55,56,54,43,2,48,0,3,0,22,0,1
1184,6.63,79.3,81.9,0,76,68,75,68,70,49,70,72,68,90,75,64,0,0,1,1,53,55,85,1
1185,8.16,83.9,71.7,1,72,63,69,70,61,59,52,59,65,60,54,47,0,0,0,3,0,31,0,0
1186,7.33,86.0,71.5,0,67,64,65,56,67,57,72,70,69,57,62,65,0,0,0,2,21,0,0,1
1187,7.55,71.2,75.0,1,70,64,63,64,56,53,78,65,66,67,74,54,0,0,0,1,0,11,0,1
1188,7.2,74.6,70.9,0,65,63,71,58,61,50,90,75,70,67,60,66,1,78,1,3,87,90,23,1
1189,7.45,79.5,78.9,1,50,52,50,44,56,32,64,61,54,65,60,55,0,0,0,0,0,10,0,0
1190,8.77,95.0,96.2,1,53,48,56,49,48,46,68,67,52,56,51,60,0,0,0,1,0,0,0,0
1191,6.82,81.1,77.2,0,70,63,79,54,72,56,68,67,64,57,62,49,0,0,1,1,60,0,0,1
1192,7.38,77.8,69.3,0,60,53,76,56,58,46,67,78,61,52,61,42,0,0,0,1,0,13,0,0
1193,6.89,82.0,73.5,0,51,34,39,44,52,42,67,63,62,88,70,61,1,61,0,0,0,0,84,1
1194,8.03,82.2,83.8,1,79,74,63,74,67,47,52,72,69,56,67,52,2,66,0,3,0,43,0,1
1195,5.74,69.9,60.5,1,87,77,78,72,81,76,58,58,71,52,60,48,2,65,0,1,34,0,10,1
1196,6.05,78.6,72.6,0,58,53,66,58,63,53,58,57,56,51,51,60,0,0,1,0,0,64,0,0
1197,6.2,70.3,72.1,0,61,55,52,47,57,38,46,47,40,64,62,56,2,35,0,0,0,0,0,1
1198,6.51,75.3,81.6,0,75,57,69,66,82,63,74,76,76,69,64,51,1,62,0,0,19,0,44,1
1199,8.35,83.7,85.6,0,56,42,53,51,59,46,60,59,47,75,68,59,1,80,1,0,0,72,0,1
1200,7.62,78.3,80.7,0,61,54,65,64,73,51,64,54,63,64,59,54,0,0,0,2,23,0,0,1
1201,7.38,84.7,79.2,1,59,46,47,55,53,47,76,71,66,39,48,46,0,0,0,2,0,14,0,0
1202,7.94,86.3,95.5,0,52,54,64,53,61,47,65,61,61,62,61,59,2,65,0,2,0,34,0,1
1203,7.4,83.4,82.6,0,74,66,68,61,67,60,57,58,65,49,68,50,2,67,0,0,0,0,0,1
1204,8.77,90.1,88.8,0,57,47,56,51,57,42,59,58,62,65,71,60,0,0,1,2,0,10,0,1
1205,8.45,91.5,88.8,2,60,62,62,64,66,47,63,63,51,60,56,63,1,83,2,0,0,74,0,1
1206,6.22,83.5,74.7,0,79,69,64,66,72,52,63,77,64,50,60,56,0,0,0,0,0,0,0,0
1207,7.12,77.7,74.3,1,63,54,67,64,71,53,75,62,74,40,55,52,0,0,0,0,43,10,0,1
1208,6.88,76.8,73.7,1,66,57,70,60,45,42,75,70,61,70,62,59,2,65,0,2,0,0,0,1
1209,7.33,84.3,80.7,1,74,58,49,60,64,56,51,48,58,64,55,67,0,0,0,0,36,31,0,1
1210,6.87,82.4,74.5,0,75,61,68,69,71,56,68,80,77,50,61,55,0,0,0,0,0,13,28,1
1211,8.15,84.4,80.0,0,65,63,65,56,66,49,64,57,72,62,63,67,0,0,0,1,0,0,55,0
1212,7.48,83.8,79.5,0,69,54,56,52,56,54,67,63,59,53,63,44,1,63,1,0,0,51,0,1
1213,6.34,73.0,74.5,0,74,70,76,75,81,66,55,54,72,40,54,36,2,65,1,1,0,49,0,1
1214,7.11,84.7,75.8,0,62,51,53,56,65,49,54,64,57,75,67,68,2,64,1,1,63,50,0,1
1215,7.52,80.2,76.6,0,70,60,77,67,73,61,73,75,65,65,67,73,3,63,1,1,66,58,51,1
1216,8.14,88.2,74.5,0,63,55,57,65,65,61,58,62,73,70,64,60,1,68,0,0,41,50,0,1
1217,7.83,83.5,79.8,2,61,58,57,52,56,45,59,64,61,57,66,53,1,66,1,0,65,77,31,1
1218,6.55,81.0,71.4,0,69,56,51,62,63,52,56,62,66,63,52,62,1,64,0,0,39,49,0,1
1219,6.26,74.9,69.4,1,50,47,53,61,57,59,59,57,54,78,71,85,0,0,1,0,0,0,85,1
1220,6.71,73.3,72.9,0,64,56,49,47,59,41,67,58,61,80,72,76,2,48,0,0,0,0,71,1
1221,7.75,89.4,82.2,2,53,48,46,49,57,45,42,38,33,54,49,56,0,0,0,3,23,0,0,1
1222,7.07,78.9,83.0,0,60,54,65,53,51,50,84,75,73,70,71,79,0,0,0,1,61,0,85,1
